,symbol,name,sector,market_cap
307,AMBP,Ardagh Metal Packaging,Packaging & Containers,3.40B
308,AMC,AMC Entertainment Holdings,Entertainment,5.99B
309,AMCI,AMCI Acquisition II,Blank Check / SPAC,184.87M
310,AMCR,Amcor,Containers & Packaging,19.63B
311,AMCX,AMC Networks,Media,1.73B
312,AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,152.28B
313,AME,AMETEK,Electrical Equipment,27.29B
314,AMED,Amedisys,Health Care Providers & Services,4.04B
315,AMEH,Apollo Medical Holdings,Health Care Providers & Services,1.59B
316,AMG,Affiliated Managers Group,Capital Markets,4.96B
317,AMGN,Amgen,Biotechnology,133.36B
318,AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,14.72B
319,AMK,AssetMark Financial Holdings,Capital Markets,1.45B
320,AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,4.72B
321,AMLX,Amylyx Pharmaceuticals,Biotechnology,488.17M
322,AMN,AMN Healthcare Services,Health Care Providers & Services,3.92B
323,AMNB,American National Bankshares,Banks,373.85M
324,AMOT,Allied Motion Technologies,Electrical Equipment,344.29M
325,AMOV,America Movil,Wireless Telecommunication Services,69.63B
326,AMP,Ameriprise Financial,Capital Markets,29.01B
327,AMPE,Ampio Pharmaceuticals,Pharmaceuticals,39.14M
328,AMPG,AmpliTech Group,Communication Equipment,19.16M
329,AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.70B
330,AMPI,Advanced Merger Partners,Blank Check / SPAC,352.19M
331,AMPL,Amplitude,Software-Application,2.08B
332,AMPS,Altus Power,Utilities-Renewable,1.07B
333,AMPY,Amplify Energy,Oil & Gas E&P,290.14M
334,AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",3.16B
335,AMRC,Ameresco,Construction & Engineering,2.91B
336,AMRK,A-Mark Precious Metals,Diversified Financial Services,787.21M
337,AMRN,Amarin,Biotechnology,571.69M
338,AMRS,Amyris,Chemicals,736.94M
339,AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1.03B
340,AMS,American Shared Hospital Services,Health Care Providers & Services,13.80M
341,AMSC,American Superconductor,Electrical Equipment,148.41M
342,AMSF,AMERISAFE,Insurance,939.55M
343,AMST,Amesite,Software-Application,14.60M
344,AMSWA,American Software,Software,569.64M
345,AMT,American Tower,Equity Real Estate Investment Trusts ...,112.75B
346,AMTB,Amerant Bancorp,Banks,966.86M
347,AMTD,AMTD International,Asset Management,3.34B
348,AMTI,Applied Molecular Transport,Biotechnology,126.01M
349,AMTX,Aemetis,"Oil, Gas & Consumable Fuels",245.17M
350,AMWD,American Woodmark,Building Products,812.46M
351,AMWL,American Well,Health Information Services,853.13M
352,AMX,America Movil,Wireless Telecommunication Services,70.15B
353,AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,503.50M
354,AMZN,Amazon.com,Internet & Direct Marketing Retail,"1,077.42B"
355,AN,AutoNation,Specialty Retail,6.27B
356,ANAB,AnaptysBio,Biotechnology,587.68M
357,ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386.22M
358,ANAT,American National Group,Insurance,5.10B
359,ANDE,The Andersons,Food & Staples Retailing,1.23B
360,ANEB,Anebulo Pharmaceuticals,Biotechnology,74.24M
361,ANET,Arista Networks,Communications Equipment,31.42B
362,ANF,Abercrombie & Fitch Company,Specialty Retail,1.39B
363,ANGH,Anghami,Entertainment,200.66M
364,ANGI,Angi Inc.,Interactive Media & Services,2.51B
365,ANGN,Angion Biomedica,Biotechnology,38.35M
366,ANGO,AngioDynamics,Health Care Equipment & Supplies,741.48M
367,ANIK,Anika Therapeutics,Biotechnology,308.04M
368,ANIP,ANI Pharmaceuticals,Pharmaceuticals,536.03M
369,ANIX,Anixa Biosciences,Biotechnology,97.99M
370,ANNX,Annexon,Biotechnology,128.03M
371,ANPC,AnPac Bio-Medical Science Co.,Biotechnology,7.31M
372,ANSS,ANSYS,Software,22.09B
373,ANTE,AirNet Technology,Media,42.51M
374,ANTM,Anthem,Health Care Providers & Services,119.76B
375,ANTX,AN2 Therapeutics,Health Care,199.27M
376,ANVS,Annovis Bio,Biotechnology,73.56M
377,ANY,Sphere 3D,Software,65.48M
378,ANZU,Anzu Special Acquisition I,Blank Check / SPAC,518.50M
379,AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116.36M
380,AOMR,Angel Oak Mortgage,REIT-Mortgage,347.99M
381,AON,Aon plc,Insurance,56.69B
382,AORT,Artivion,Medical Devices,757.00M
383,AOS,A. O. Smith,Building Products,9.10B
384,AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1.08B
385,AOUT,American Outdoor Brands,Leisure Products,141.06M
386,AP,Ampco-Pittsburgh,Metals & Mining,86.36M
387,APA,APA Corporation,"Oil, Gas & Consumable Fuels",14.60B
388,APAC,Stonebridge Acquisition,Blank Check / SPAC,249.00M
389,APAM,Artisan Partners Asset Management,Capital Markets,2.42B
390,APCA,AP Acquisition,Blank Check / SPAC,170.79M
391,APCX,AppTech Payments,Software-Infrastructure,12.56M
392,APD,Air Products & Chemicals,Chemicals,52.47B
393,APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",11.03M
394,APEI,American Public Education,Diversified Consumer Services,249.66M
395,APEN,Apollo Endosurgery,Health Care Equipment & Supplies,153.35M
